Wavelength,SAPONITE,SMECTITE,NONTRONITE,SERPENTINE,MONTMORILLONITE,KAOLINITE,GYPSUM,JAROSITE,KIESERITE,SZOMOLNOKITE,CALCITE,MAGNESITE,PYROXENE,PLAGIOCLASE,QUARTZ,FAYALITE,FORSTERITE,OLIVINE,HEMATITE,GOETHITE
0.35,0.292488,0.039401,0.032386,0.035137,0.024795,0.427135,0.826631,0.030611,0.630612,0.15672,0,0,0.459283,0.190708,0.791559,0.042794,0.453064,0.524236,0.04613,0.046376
0.3525,0.302482,0.04183,0.034003,0.035172,0.024997,0.442435,0.829441,0.030837,0.636609,0.164415,0.743979,0.572427,0.469231,0.194147,0.789415,0.043984,0.4637,0.533672,0.04657,0.046806
0.355,0.312476,0.044259,0.035621,0.035208,0.0252,0.457735,0.832251,0.031063,0.642606,0.17211,0.746255,0.577119,0.479179,0.197586,0.787271,0.045174,0.474336,0.543108,0.04701,0.047235
0.3575,0.322139,0.046609,0.036802,0.035104,0.025686,0.474318,0.834041,0.031314,0.646351,0.17986,0.748441,0.58212,0.489062,0.200939,0.789499,0.046342,0.484111,0.552976,0.047185,0.048116
0.36,0.331803,0.04896,0.037984,0.034999,0.026173,0.490901,0.835831,0.031565,0.650095,0.18761,0.750627,0.587121,0.498946,0.204293,0.791727,0.04751,0.493887,0.562845,0.04736,0.048997
0.3625,0.340194,0.049948,0.039008,0.035292,0.026609,0.507988,0.838472,0.031885,0.654684,0.19576,0.754342,0.592306,0.50676,0.207394,0.7923,0.048847,0.501736,0.571255,0.04781,0.049548
0.365,0.348585,0.050937,0.040032,0.035584,0.027044,0.525076,0.841114,0.032206,0.659274,0.20391,0.758057,0.59749,0.514575,0.210496,0.792872,0.050184,0.509585,0.579665,0.04826,0.050099
0.3675,0.355814,0.051819,0.040316,0.035753,0.027709,0.539609,0.84364,0.032293,0.662136,0.210065,0.759806,0.602729,0.51866,0.213434,0.795428,0.051969,0.516284,0.587611,0.048705,0.050589
0.37,0.363043,0.0527,0.040599,0.035923,0.028375,0.554142,0.846166,0.032379,0.664998,0.21622,0.761554,0.607969,0.522745,0.216373,0.797983,0.053753,0.522982,0.595558,0.04915,0.051079
0.3725,0.371386,0.054417,0.041643,0.035761,0.029226,0.565629,0.84837,0.032653,0.671041,0.224135,0.764342,0.613235,0.525689,0.219122,0.800228,0.055638,0.528728,0.600679,0.049755,0.051636
0.375,0.379728,0.056135,0.042687,0.035599,0.030076,0.577115,0.850574,0.032926,0.677083,0.23205,0.767131,0.618502,0.528634,0.221872,0.802474,0.057522,0.534474,0.6058,0.05036,0.052192
0.3775,0.387226,0.058441,0.043847,0.035295,0.031071,0.586674,0.852818,0.033404,0.681327,0.236645,0.76921,0.622635,0.532852,0.224465,0.804744,0.05985,0.538707,0.610556,0.05078,0.052479
0.38,0.394725,0.060748,0.045007,0.03499,0.032066,0.596233,0.855063,0.033883,0.685571,0.24124,0.77129,0.626767,0.53707,0.227058,0.807013,0.062179,0.542939,0.615313,0.0512,0.052767
0.3825,0.400764,0.063405,0.046531,0.03501,0.033295,0.604308,0.857998,0.034225,0.689164,0.246075,0.773102,0.632929,0.541032,0.229413,0.808793,0.064562,0.546749,0.620126,0.051795,0.052794
0.385,0.406802,0.066062,0.048056,0.035029,0.034524,0.612383,0.860934,0.034566,0.692757,0.25091,0.774914,0.639091,0.544994,0.231768,0.810573,0.066944,0.550559,0.624938,0.05239,0.05282
0.3875,0.414905,0.069513,0.049636,0.03503,0.035763,0.619864,0.862551,0.035314,0.695813,0.25611,0.776718,0.643659,0.548795,0.234412,0.811801,0.069265,0.554531,0.629637,0.05284,0.05269
0.39,0.423009,0.072964,0.051217,0.03503,0.037001,0.627345,0.864168,0.036062,0.698869,0.26131,0.778522,0.648226,0.552597,0.237056,0.813029,0.071587,0.558503,0.634336,0.05329,0.052561
0.3925,0.430395,0.076983,0.053412,0.035094,0.038505,0.633619,0.866593,0.037106,0.702299,0.266005,0.781058,0.655036,0.555892,0.239487,0.815205,0.074272,0.561514,0.637313,0.0538,0.052337
0.395,0.43778,0.081002,0.055606,0.035158,0.040009,0.639892,0.869019,0.03815,0.705728,0.2707,0.783593,0.661845,0.559187,0.241917,0.817381,0.076956,0.564525,0.64029,0.05431,0.052113
0.3975,0.443632,0.084688,0.057854,0.035389,0.041576,0.646652,0.870703,0.040157,0.709023,0.27454,0.78608,0.668278,0.562132,0.244041,0.818452,0.079429,0.567381,0.644038,0.054635,0.051738
0.4,0.449483,0.088375,0.060103,0.03562,0.043143,0.653412,0.872388,0.042164,0.712318,0.27838,0.788566,0.67471,0.565076,0.246165,0.819524,0.081903,0.570236,0.647786,0.05496,0.051362
0.4025,0.454082,0.091908,0.062332,0.035971,0.045023,0.657966,0.874301,0.043288,0.714931,0.280995,0.788534,0.680189,0.567057,0.248083,0.82091,0.084069,0.573596,0.651568,0.05539,0.051155
0.405,0.458681,0.095441,0.06456,0.036322,0.046903,0.66252,0.876214,0.044413,0.717545,0.28361,0.788501,0.685668,0.569037,0.25,0.822295,0.086235,0.576955,0.65535,0.05582,0.050948
0.4075,0.462185,0.098501,0.066142,0.03611,0.048354,0.665728,0.877684,0.045484,0.719762,0.285395,0.791274,0.688924,0.571727,0.250387,0.823658,0.088743,0.583717,0.65764,0.05584,0.051747
0.41,0.465689,0.101561,0.067725,0.035899,0.049806,0.668936,0.879154,0.046556,0.721979,0.28718,0.794047,0.692179,0.574417,0.250774,0.825021,0.09125,0.590479,0.659929,0.05586,0.052545
0.4125,0.469153,0.103816,0.068816,0.036169,0.051668,0.675043,0.880935,0.047379,0.725696,0.28874,0.795138,0.697984,0.57638,0.252289,0.826697,0.09348,0.593032,0.662885,0.05607,0.052482
0.415,0.472616,0.106071,0.069907,0.036438,0.05353,0.68115,0.882717,0.048202,0.729413,0.2903,0.796228,0.703788,0.578343,0.253804,0.828373,0.09571,0.595585,0.665841,0.05628,0.052418
0.4175,0.475534,0.108374,0.070599,0.036515,0.055434,0.684993,0.884215,0.048818,0.730172,0.291185,0.797042,0.709183,0.580382,0.255005,0.829597,0.09822,0.597525,0.668372,0.056605,0.052363
0.42,0.478453,0.110676,0.071291,0.036592,0.057337,0.688835,0.885714,0.049434,0.730931,0.29207,0.797856,0.714577,0.582421,0.256206,0.83082,0.10073,0.599465,0.670903,0.05693,0.052308
0.4225,0.482107,0.113192,0.072111,0.03678,0.059749,0.692908,0.887722,0.04999,0.734304,0.29245,0.799768,0.720916,0.583035,0.256994,0.832266,0.10294,0.601276,0.672629,0.057075,0.052376
